Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -176.9230    -178.0209       1.0979   314.6
0.0001        -176.9327    -178.0239       1.0912   312.7
0.0002        -176.9345    -178.0242       1.0897   312.2
0.0003        -176.9318    -178.0239       1.0922   312.9
0.0004        -176.9316    -178.0235       1.0919   312.9
0.0005        -176.9331    -178.0228       1.0897   312.2
0.0006        -176.9335    -178.0219       1.0884   311.9
0.0007        -176.9330    -178.0206       1.0876   311.6
0.0008        -176.9320    -178.0193       1.0873   311.6
0.0009        -176.9331    -178.0178       1.0847   310.8
0.0010        -176.9298    -178.0162       1.0864   311.3
0.0011        -176.9307    -178.0143       1.0836   310.5
0.0012        -176.9307    -178.0121       1.0814   309.9
0.0013        -176.9322    -178.0101       1.0779   308.9
0.0014        -176.9315    -178.0073       1.0759   308.3
0.0015        -176.9294    -178.0047       1.0753   308.1
0.0016        -176.9298    -178.0019       1.0721   307.2
0.0017        -176.9287    -177.9991       1.0703   306.7
0.0018        -176.9283    -177.9960       1.0677   305.9
0.0019        -176.9264    -177.9925       1.0660   305.5
0.0020        -176.9266    -177.9890       1.0625   304.4
0.0021        -176.9251    -177.9855       1.0605   303.9
0.0022        -176.9232    -177.9819       1.0587   303.3
0.0023        -176.9247    -177.9777       1.0531   301.7
0.0024        -176.9258    -177.9737       1.0479   300.3
0.0025        -176.9212    -177.9695       1.0483   300.4
0.0026        -176.9208    -177.9650       1.0443   299.2
0.0027        -176.9211    -177.9607       1.0396   297.9
0.0028        -176.9216    -177.9560       1.0344   296.4
0.0029        -176.9246    -177.9513       1.0267   294.2
0.0030        -176.9239    -177.9466       1.0227   293.0
0.0031        -176.9203    -177.9415       1.0211   292.6
0.0032        -176.9195    -177.9364       1.0169   291.4
0.0033        -176.9190    -177.9312       1.0122   290.0
0.0034        -176.9193    -177.9261       1.0068   288.5
0.0035        -176.9172    -177.9205       1.0033   287.5
0.0036        -176.9168    -177.9151       0.9983   286.1
0.0037        -176.9165    -177.9094       0.9928   284.5
0.0038        -176.9170    -177.9040       0.9871   282.8
0.0039        -176.9157    -177.8983       0.9826   281.5
0.0040        -176.9143    -177.8921       0.9778   280.2
0.0041        -176.9115    -177.8862       0.9747   279.3
0.0042        -176.9106    -177.8801       0.9695   277.8
0.0043        -176.9105    -177.8739       0.9635   276.1
0.0044        -176.9083    -177.8680       0.9597   275.0
0.0045        -176.9058    -177.8616       0.9558   273.9
0.0046        -176.9065    -177.8555       0.9490   271.9
0.0047        -176.9066    -177.8490       0.9424   270.0
0.0048        -176.9025    -177.8425       0.9400   269.3
0.0049        -176.9025    -177.8361       0.9336   267.5
0.0050        -176.9019    -177.8297       0.9279   265.9
0.0051        -176.9018    -177.8232       0.9213   264.0
0.0052        -176.9028    -177.8166       0.9138   261.8
0.0053        -176.9039    -177.8099       0.9061   259.6
0.0054        -176.9023    -177.8033       0.9010   258.2
0.0055        -176.9043    -177.7967       0.8925   255.7
0.0056        -176.9049    -177.7904       0.8855   253.7
0.0057        -176.9049    -177.7837       0.8789   251.8
0.0058        -176.9037    -177.7772       0.8735   250.3
0.0059        -176.9031    -177.7707       0.8675   248.6
0.0060        -176.9015    -177.7640       0.8625   247.1
0.0061        -176.8995    -177.7576       0.8580   245.9
0.0062        -176.8974    -177.7509       0.8535   244.5
0.0063        -176.8966    -177.7444       0.8477   242.9
0.0064        -176.8947    -177.7379       0.8432   241.6
0.0065        -176.8943    -177.7314       0.8372   239.9
0.0066        -176.8924    -177.7251       0.8327   238.6
0.0067        -176.8929    -177.7187       0.8258   236.6
0.0068        -176.8901    -177.7124       0.8223   235.6
0.0069        -176.8888    -177.7060       0.8172   234.2
0.0070        -176.8882    -177.6997       0.8116   232.5
0.0071        -176.8905    -177.6936       0.8031   230.1
0.0072        -176.8897    -177.6873       0.7976   228.5
0.0073        -176.8883    -177.6812       0.7930   227.2
0.0074        -176.8873    -177.6752       0.7879   225.8
0.0075        -176.8880    -177.6691       0.7811   223.8
0.0076        -176.8874    -177.6632       0.7757   222.3
0.0077        -176.8856    -177.6573       0.7717   221.1
0.0078        -176.8861    -177.6514       0.7653   219.3
0.0079        -176.8837    -177.6456       0.7618   218.3
0.0080        -176.8829    -177.6399       0.7570   216.9
0.0081        -176.8827    -177.6344       0.7518   215.4
0.0082        -176.8805    -177.6289       0.7484   214.4
0.0083        -176.8814    -177.6233       0.7419   212.6
0.0084        -176.8834    -177.6178       0.7343   210.4
0.0085        -176.8850    -177.6125       0.7275   208.4
0.0086        -176.8858    -177.6073       0.7216   206.7
0.0087        -176.8872    -177.6024       0.7152   204.9
0.0088        -176.8892    -177.5973       0.7081   202.9
0.0089        -176.8919    -177.5924       0.7005   200.7
0.0090        -176.8911    -177.5876       0.6965   199.6
0.0091        -176.8895    -177.5828       0.6933   198.7
