                Step[ FC]     Time          Energy          fmax
*Force-consistent energies used in optimization.
BFGSLineSearch:    0[  0] 09:06:22     -157.327772*       1.2859
BFGSLineSearch:    1[  2] 09:07:08     -157.795918*       0.9040
BFGSLineSearch:    2[  3] 09:07:37     -158.276315*       2.0456
BFGSLineSearch:    3[  5] 09:08:25     -158.762923*       0.8370
BFGSLineSearch:    4[  7] 09:08:54     -158.942156*       0.9378
BFGSLineSearch:    5[  9] 09:09:25     -159.033107*       0.6318
BFGSLineSearch:    6[ 11] 09:09:58     -159.092120*       0.3607
BFGSLineSearch:    7[ 13] 09:10:20     -159.106011*       0.4146
BFGSLineSearch:    8[ 23] 09:11:47     -159.106926*       0.1793
BFGSLineSearch:    9[ 24] 09:11:59     -159.116118*       0.4079
BFGSLineSearch:   10[ 26] 09:12:29     -159.120255*       0.1740
BFGSLineSearch:   11[ 28] 09:12:53     -159.123035*       0.1533
BFGSLineSearch:   12[ 37] 09:14:18     -159.124929*       0.2931
BFGSLineSearch:   13[ 41] 09:14:52     -159.126367*       0.2160
BFGSLineSearch:   14[ 46] 09:15:36     -159.128020*       0.1050
BFGSLineSearch:   15[ 56] 09:16:49     -159.128656*       0.0807
BFGSLineSearch:   16[ 65] 09:18:07     -159.129452*       0.0678
BFGSLineSearch:   17[ 76] 09:19:46     -159.130547*       0.5183
BFGSLineSearch:   18[ 81] 09:20:40     -159.136609*       0.4142
BFGSLineSearch:   19[ 83] 09:21:03     -159.139436*       0.2719
BFGSLineSearch:   20[ 85] 09:21:33     -159.140862*       0.2268
BFGSLineSearch:   21[ 88] 09:22:05     -159.141686*       0.1602
BFGSLineSearch:   22[ 94] 09:22:54     -159.143208*       0.1362
BFGSLineSearch:   23[106] 09:24:35     -159.144058*       0.3871
BFGSLineSearch:   24[111] 09:25:27     -159.147645*       0.3062
BFGSLineSearch:   25[113] 09:25:54     -159.150956*       0.2790
BFGSLineSearch:   26[117] 09:26:28     -159.152537*       0.2789
BFGSLineSearch:   27[119] 09:26:52     -159.155029*       0.1983
BFGSLineSearch:   28[121] 09:27:14     -159.156521*       0.1529
BFGSLineSearch:   29[125] 09:27:47     -159.157107*       0.1339
BFGSLineSearch:   30[132] 09:28:50     -159.158169*       0.1733
BFGSLineSearch:   31[138] 09:29:50     -159.158963*       0.1704
BFGSLineSearch:   32[143] 09:30:39     -159.159993*       0.1694
BFGSLineSearch:   33[149] 09:31:32     -159.162078*       0.2023
BFGSLineSearch:   34[154] 09:32:28     -159.165571*       0.2772
BFGSLineSearch:   35[167] 09:34:15     -159.166882*       0.3436
BFGSLineSearch:   36[172] 09:36:14     -159.202632*       0.5967
BFGSLineSearch:   37[180] 09:39:01     -159.190873*       0.6930
BFGSLineSearch:   38[182] 09:40:45     -159.196401*       0.8181
BFGSLineSearch:   39[185] 09:41:24     -159.239973*       0.6315
BFGSLineSearch:   40[187] 09:41:53     -159.256654*       0.6167
BFGSLineSearch:   41[189] 09:42:21     -159.268257*       0.3133
BFGSLineSearch:   42[191] 09:42:41     -159.273816*       0.2838
BFGSLineSearch:   43[199] 09:43:51     -159.273568*       0.1695
BFGSLineSearch:   44[201] 09:44:13     -159.274790*       0.2349
BFGSLineSearch:   45[210] 09:45:29     -159.276107*       0.1917
BFGSLineSearch:   46[214] 09:46:10     -159.279196*       0.2303
BFGSLineSearch:   47[222] 09:47:17     -159.280140*       0.2719
BFGSLineSearch:   48[225] 09:47:48     -159.283837*       0.2037
BFGSLineSearch:   49[230] 09:48:37     -159.285189*       0.1573
BFGSLineSearch:   50[236] 09:49:40     -159.287821*       0.1662
BFGSLineSearch:   51[240] 09:50:20     -159.290742*       0.2434
BFGSLineSearch:   52[250] 09:51:48     -159.291749*       0.1838
BFGSLineSearch:   53[254] 09:52:32     -159.294556*       0.1195
BFGSLineSearch:   54[258] 09:53:08     -159.294772*       0.0949
BFGSLineSearch:   55[267] 09:54:27     -159.294784*       0.1765
BFGSLineSearch:   56[272] 09:55:15     -159.296230*       0.0732
BFGSLineSearch:   57[276] 09:55:50     -159.296392*       0.0700
BFGSLineSearch:   58[282] 09:56:42     -159.296852*       0.0998
BFGSLineSearch:   59[288] 09:57:37     -159.297438*       0.0974
BFGSLineSearch:   60[294] 09:58:34     -159.296949*       0.1029
