2025-12-11 15:00:41: Running on host: cad184d29a10
2025-12-11 15:00:41: Seed with <1234>
2025-12-11 15:00:42: Calcator assigned to atoms.
           step           epot           ekin           etot
              1     -179.77609        3.39610     -176.37999
              2     -178.91887        2.19922     -176.71965
              3     -180.23363        3.06837     -177.16526
              4     -180.81540        3.18357     -177.63183
              5     -180.36545        2.51091     -177.85454
              6     -180.78964        2.66329     -178.12635
              7     -181.63805        2.89367     -178.74437
              8     -181.74174        2.84499     -178.89675
              9     -180.88808        1.89990     -178.98818
             10     -181.26158        2.07018     -179.19140
             11     -182.12784        2.38928     -179.73855
             12     -181.99026        1.88690     -180.10336
             13     -181.40074        1.50902     -179.89172
             14     -182.43600        2.02824     -180.40776
             15     -182.76376        2.14069     -180.62308
             16     -182.24928        1.50883     -180.74045
             17     -182.39522        1.51180     -180.88342
             18     -182.84056        1.82737     -181.01319
             19     -182.61754        1.47817     -181.13937
             20     -182.37006        1.31021     -181.05984
             21     -182.76945        1.81633     -180.95313
             22     -182.97993        1.81855     -181.16139
             23     -182.71309        1.46858     -181.24451
             24     -182.65355        1.30172     -181.35183
             25     -182.75894        1.37113     -181.38781
             26     -182.79028        1.41236     -181.37792
             27     -182.66930        1.22067     -181.44862
             28     -182.90233        1.42411     -181.47822
             29     -182.99745        1.39394     -181.60351
             30     -182.73094        1.31238     -181.41856
             31     -182.63849        1.52796     -181.11053
             32     -182.77530        1.68635     -181.08895
             33     -182.53348        1.44700     -181.08647
             34     -182.48320        1.09531     -181.38789
             35     -182.67867        1.33754     -181.34112
             36     -182.63954        1.03402     -181.60552
             37     -182.51010        0.92085     -181.58925
             38     -182.73685        1.03479     -181.70205
             39     -182.89163        1.12448     -181.76715
             40     -182.82738        0.86193     -181.96545
             41     -183.00180        1.01353     -181.98827
             42     -183.19957        0.89034     -182.30923
             43     -183.22717        0.93762     -182.28956
             44     -183.06509        0.94205     -182.12304
             45     -183.05202        0.89762     -182.15439
             46     -183.17860        1.03208     -182.14653
             47     -183.22261        0.99762     -182.22499
             48     -183.06407        1.06237     -182.00170
             49     -183.13455        1.17183     -181.96272
             50     -183.28841        1.17782     -182.11058
             51     -183.21324        1.03136     -182.18188
             52     -183.16415        0.86270     -182.30146
             53     -183.36531        1.15390     -182.21141
             54     -183.28154        0.98736     -182.29418
             55     -183.01535        0.88325     -182.13210
             56     -183.06291        0.70699     -182.35592
             57     -183.27017        0.96925     -182.30092
             58     -183.27145        0.91624     -182.35521
             59     -183.17409        0.87579     -182.29830
             60     -183.19617        0.94595     -182.25022
             61     -183.11516        0.76534     -182.34982
             62     -183.19272        0.91623     -182.27649
             63     -183.29103        0.94756     -182.34347
             64     -183.34062        0.92285     -182.41777
             65     -183.29326        0.80844     -182.48482
             66     -183.36868        0.95423     -182.41445
             67     -183.39030        0.83602     -182.55429
             68     -183.35234        0.69922     -182.65312
             69     -183.38710        0.81394     -182.57316
             70     -183.54179        0.90630     -182.63549
             71     -183.54022        0.85290     -182.68733
             72     -183.40103        0.74981     -182.65122
             73     -183.51688        1.00797     -182.50890
             74     -183.44427        1.04460     -182.39968
             75     -183.36829        1.04500     -182.32329
             76     -183.33885        0.99816     -182.34070
             77     -183.23903        0.86434     -182.37469
             78     -183.19374        0.90401     -182.28973
             79     -183.27493        0.99678     -182.27815
             80     -183.32857        1.06359     -182.26498
             81     -183.24837        0.87439     -182.37398
             82     -183.10677        0.99697     -182.10979
             83     -183.09875        1.05493     -182.04383
             84     -183.09245        0.85234     -182.24011
             85     -183.05821        0.91807     -182.14014
             86     -182.95294        0.77722     -182.17572
             87     -182.90419        0.60477     -182.29942
             88     -183.02596        0.90478     -182.12118
             89     -182.96310        0.72053     -182.24257
             90     -182.95317        0.59901     -182.35416
             91     -183.11252        0.80527     -182.30724
             92     -183.13089        0.76843     -182.36246
             93     -183.08119        0.88092     -182.20027
             94     -183.14720        0.75436     -182.39285
             95     -183.26802        0.88274     -182.38528
             96     -183.25560        0.84207     -182.41353
             97     -183.19693        0.81286     -182.38407
             98     -183.27893        0.93877     -182.34016
             99     -183.30840        0.96784     -182.34056
            100     -183.29062        0.78523     -182.50539
            101     -183.45137        0.88998     -182.56139
