2025-12-12 15:11:07: Running on host: cad184d29a10
2025-12-12 15:11:07: Seed with <1234>
2025-12-12 15:11:08: Module repr_callback is not provided. To calculate mahalanobis, the provided dataset will be used to calculate precision matrix afterwards.
Calculating features from provided dataset <../../LiFePO4.traj>.
Calculating precision matrix from 2257 structures.
Processing batch 1/18
Processing batch 2/18
Processing batch 3/18
Processing batch 4/18
Processing batch 5/18
Processing batch 6/18
Processing batch 7/18
Processing batch 8/18
Processing batch 9/18
Processing batch 10/18
Processing batch 11/18
Processing batch 12/18
Processing batch 13/18
Processing batch 14/18
Processing batch 15/18
Processing batch 16/18
Processing batch 17/18
Processing batch 18/18
2025-12-12 15:11:22: Calcator assigned to atoms.
           step           epot           ekin           etot      maha_dist     is_outlier     is_warning
uncertainty backend state: <curator.simulate.uncertainty.auto.AutoUncertainty object at 0x7f73b0b0ef10>
uncertainty snapshot: {'maha_dist': 10.914968490600586, 'is_outlier': False, 'is_warning': False}
              1     -184.13094        0.84544     -183.28549       10.91497        0.00000        0.00000
              2     -183.87991        0.75136     -183.12855       10.86510        0.00000        0.00000
              3     -183.73685        0.67737     -183.05948       10.99407        0.00000        0.00000
              4     -183.76134        0.70859     -183.05275       11.16854        0.00000        0.00000
              5     -183.55849        0.60658     -182.95191       11.55888        0.00000        0.00000
              6     -183.39374        0.55123     -182.84250       12.05587        0.00000        0.00000
              7     -183.45721        0.63797     -182.81925       12.38039        0.00000        0.00000
              8     -183.42830        0.79094     -182.63736       12.96225        0.00000        0.00000
              9     -183.28146        0.88911     -182.39235       13.83417        0.00000        0.00000
             10     -183.21799        0.87104     -182.34695       14.76985        0.00000        0.00000
             11     -183.10150        0.83281     -182.26869       15.80055        0.00000        0.00000
             12     -182.92021        0.62310     -182.29712       16.45050        0.00000        0.00000
             13     -182.99106        0.67833     -182.31273       16.38076        0.00000        0.00000
             14     -183.14188        0.78527     -182.35660       15.89444        0.00000        0.00000
             15     -183.20976        0.79376     -182.41600       15.35765        0.00000        0.00000
             16     -183.26024        0.82339     -182.43684       15.08473        0.00000        0.00000
             17     -183.23308        0.77382     -182.45926       15.17243        0.00000        0.00000
             18     -183.24033        0.78629     -182.45404       15.23146        0.00000        0.00000
             19     -183.28159        0.90061     -182.38098       15.05343        0.00000        0.00000
             20     -183.33939        1.01249     -182.32690       15.02027        0.00000        0.00000
             21     -183.35506        1.01060     -182.34446       15.06804        0.00000        0.00000
             22     -183.29533        1.02568     -182.26965       15.26500        0.00000        0.00000
             23     -183.21509        0.99259     -182.22250       15.73145        0.00000        0.00000
             24     -183.05475        0.87266     -182.18209       16.34903        0.00000        0.00000
             25     -182.97968        0.90297     -182.07670       16.54088        0.00000        0.00000
             26     -183.09048        1.10349     -181.98700       16.16587        0.00000        0.00000
             27     -183.14322        1.06532     -182.07790       15.75545        0.00000        0.00000
             28     -183.19980        1.23250     -181.96730       15.53906        0.00000        0.00000
             29     -183.23375        1.14071     -182.09304       15.23950        0.00000        0.00000
             30     -183.22090        1.16107     -182.05983       15.03533        0.00000        0.00000
             31     -183.11357        1.19953     -181.91405       15.29299        0.00000        0.00000
             32     -183.02026        1.20457     -181.81569       15.80623        0.00000        0.00000
             33     -182.85965        1.09308     -181.76657       16.51326        0.00000        0.00000
             34     -182.90947        1.01141     -181.89806       16.76851        0.00000        0.00000
             35     -182.88055        1.11148     -181.76907       17.03073        0.00000        0.00000
             36     -182.76233        0.82086     -181.94147       17.34853        0.00000        0.00000
             37     -182.83644        0.96598     -181.87046       17.36832        0.00000        0.00000
             38     -183.07161        1.04066     -182.03094       16.97103        0.00000        0.00000
             39     -183.01244        1.02286     -181.98958       16.86571        0.00000        0.00000
             40     -183.01109        0.89298     -182.11811       16.65999        0.00000        0.00000
             41     -183.14738        0.98736     -182.16003       16.12551        0.00000        0.00000
             42     -183.23050        0.82931     -182.40119       15.51811        0.00000        0.00000
             43     -183.26485        0.86785     -182.39700       15.23223        0.00000        0.00000
             44     -183.15663        0.88238     -182.27425       15.34871        0.00000        0.00000
             45     -183.14331        0.89831     -182.24500       15.38160        0.00000        0.00000
             46     -183.25117        1.03667     -182.21450       15.41372        0.00000        0.00000
             47     -183.27188        0.97505     -182.29683       15.50975        0.00000        0.00000
             48     -183.03983        0.94890     -182.09093       15.66602        0.00000        0.00000
             49     -183.12653        1.09061     -182.03591       15.30971        0.00000        0.00000
             50     -183.23996        1.05125     -182.18871       14.79479        0.00000        0.00000
             51     -183.15672        0.93372     -182.22300       14.31941        0.00000        0.00000
             52     -183.17165        0.81366     -182.35798       14.22622        0.00000        0.00000
             53     -183.36954        1.11211     -182.25742       14.23065        0.00000        0.00000
             54     -183.27634        0.94300     -182.33334       14.81816        0.00000        0.00000
             55     -183.02353        0.83639     -182.18714       15.57743        0.00000        0.00000
             56     -183.07436        0.70283     -182.37152       15.69582        0.00000        0.00000
             57     -183.25395        0.90441     -182.34954       15.53787        0.00000        0.00000
             58     -183.32431        0.91047     -182.41384       15.45502        0.00000        0.00000
             59     -183.24155        0.84195     -182.39960       15.49008        0.00000        0.00000
             60     -183.24263        0.86531     -182.37732       15.27410        0.00000        0.00000
             61     -183.19933        0.73986     -182.45946       15.10471        0.00000        0.00000
             62     -183.28503        0.90910     -182.37594       14.69069        0.00000        0.00000
             63     -183.34242        0.91455     -182.42787       14.16743        0.00000        0.00000
             64     -183.38031        0.88225     -182.49806       13.93954        0.00000        0.00000
             65     -183.33783        0.79815     -182.53968       14.03821        0.00000        0.00000
             66     -183.41028        0.91046     -182.49982       13.99208        0.00000        0.00000
             67     -183.38722        0.77558     -182.61164       13.97319        0.00000        0.00000
             68     -183.31874        0.65185     -182.66689       13.92128        0.00000        0.00000
             69     -183.38863        0.80372     -182.58491       13.77567        0.00000        0.00000
             70     -183.51772        0.87904     -182.63868       13.13068        0.00000        0.00000
             71     -183.49147        0.78826     -182.70321       12.85982        0.00000        0.00000
             72     -183.38541        0.70343     -182.68197       13.13014        0.00000        0.00000
             73     -183.49702        0.95866     -182.53836       13.36605        0.00000        0.00000
             74     -183.40668        0.99530     -182.41138       13.64450        0.00000        0.00000
             75     -183.37164        1.04004     -182.33161       13.91109        0.00000        0.00000
             76     -183.37326        1.02617     -182.34709       14.05632        0.00000        0.00000
             77     -183.26379        0.88773     -182.37607       14.28012        0.00000        0.00000
             78     -183.23918        0.94995     -182.28923       14.31375        0.00000        0.00000
             79     -183.32901        1.03049     -182.29852       14.34531        0.00000        0.00000
             80     -183.33519        1.04064     -182.29455       14.78227        0.00000        0.00000
             81     -183.22621        0.84775     -182.37846       15.69395        0.00000        0.00000
             82     -183.07573        0.96092     -182.11480       16.77408        0.00000        0.00000
             83     -183.04695        0.99102     -182.05593       17.49727        0.00000        0.00000
             84     -183.02271        0.78906     -182.23365       17.73473        0.00000        0.00000
             85     -183.01860        0.89992     -182.11868       17.91021        0.00000        0.00000
             86     -182.92886        0.76624     -182.16263       18.51612        0.00000        0.00000
             87     -182.90065        0.64140     -182.25925       18.81732        0.00000        0.00000
             88     -183.03789        0.97496     -182.06292       18.56546        0.00000        0.00000
             89     -182.98720        0.79206     -182.19514       18.76362        0.00000        0.00000
             90     -182.97704        0.64173     -182.33531       18.89043        0.00000        0.00000
             91     -183.13763        0.84079     -182.29684       18.37799        0.00000        0.00000
             92     -183.14066        0.79557     -182.34508       17.92327        0.00000        0.00000
             93     -183.04863        0.87383     -182.17480       17.87592        0.00000        0.00000
             94     -183.11818        0.74994     -182.36824       17.82566        0.00000        0.00000
             95     -183.23203        0.87880     -182.35323       17.51835        0.00000        0.00000
             96     -183.20898        0.82809     -182.38089       17.04809        0.00000        0.00000
             97     -183.15524        0.81560     -182.33965       16.10140        0.00000        0.00000
             98     -183.25233        0.94066     -182.31167       14.87048        0.00000        0.00000
             99     -183.28990        0.97716     -182.31275       13.83541        0.00000        0.00000
            100     -183.27312        0.79853     -182.47459       12.97304        0.00000        0.00000
            101     -183.44716        0.91012     -182.53704       12.31084        0.00000        0.00000
            102     -183.51952        0.87772     -182.64179       12.17643        0.00000        0.00000
            103     -183.51636        0.86296     -182.65340       12.34464        0.00000        0.00000
            104     -183.50731        0.89607     -182.61124       12.59359        0.00000        0.00000
            105     -183.55357        1.02356     -182.53002       12.78306        0.00000        0.00000
            106     -183.56303        0.96670     -182.59634       13.10704        0.00000        0.00000
            107     -183.45805        0.99363     -182.46442       13.40129        0.00000        0.00000
            108     -183.34903        1.00620     -182.34283       13.95207        0.00000        0.00000
            109     -183.32082        1.01011     -182.31070       14.62927        0.00000        0.00000
            110     -183.15706        0.81697     -182.34009       15.42707        0.00000        0.00000
            111     -183.11479        0.78596     -182.32883       15.80975        0.00000        0.00000
            112     -183.11282        0.73031     -182.38251       16.03774        0.00000        0.00000
            113     -183.05843        0.68468     -182.37374       16.38202        0.00000        0.00000
