2025-12-25 03:10:05: Running on host: XSH-20240927AHO
2025-12-25 03:10:05: Simulation setup:
  Engine    : curator.simulate.engines.ase_md.MDEngine
  Model     : ../test/best_model.ckpt
  Init traj : ../test/LiFePO4.traj
  Systems   : 1 | single system
  Device    : cuda
  Engine params: timestep=0.5
  Callbacks   : curator.simulate.callbacks.calc.CalculatorAssign, curator.simulate.callbacks.thermo_uncertainty.ThermoWithUncertainty, curator.simulate.callbacks.trajectory.TrajectoryWriter, curator.simulate.callbacks.early_stop.EarlyStop
2025-12-25 03:10:05: Seed with <1234>
Loaded single system: natoms=28, Fe:4, Li:4, O:16, P:4
2025-12-25 03:10:06: Calcator assigned to atoms.
           step           epot           ekin           etot
uncertainty snapshot: None
              1     -183.15240        0.79335     -182.35905
              2     -183.55328        1.10680     -182.44648
              3     -183.15982        0.76943     -182.39039
              4     -183.16800        0.72345     -182.44455
              5     -183.51717        1.03607     -182.48109
              6     -183.24579        0.79540     -182.45039
              7     -183.13651        0.88839     -182.24812
              8     -183.30261        1.06316     -182.23945
              9     -183.31250        1.11377     -182.19873
             10     -182.96889        0.76187     -182.20702
             11     -183.28577        0.93581     -182.34995
             12     -183.44695        1.21464     -182.23231
             13     -183.09103        1.11058     -181.98046
             14     -182.97603        1.04376     -181.93227
             15     -183.07196        1.15474     -181.91722
             16     -182.94310        1.04578     -181.89732
             17     -182.53003        0.87757     -181.65246
             18     -182.78896        0.99135     -181.79761
             19     -183.00182        1.15962     -181.84220
             20     -182.95511        1.03196     -181.92315
             21     -182.90956        0.91798     -181.99158
             22     -183.11392        1.10700     -182.00692
             23     -183.23293        1.19489     -182.03803
             24     -183.06482        0.99250     -182.07232
             25     -183.11649        0.99337     -182.12312
             26     -183.34000        1.09992     -182.24007
             27     -183.30775        0.93505     -182.37270
             28     -183.18863        0.88974     -182.29889
             29     -183.31511        0.92148     -182.39363
             30     -183.35867        0.94472     -182.41395
             31     -183.30205        1.00039     -182.30166
             32     -183.32857        0.92182     -182.40674
             33     -183.34782        0.94407     -182.40376
             34     -183.36142        0.91764     -182.44378
             35     -183.32098        1.01990     -182.30109
             36     -183.30434        0.98804     -182.31629
             37     -183.38324        0.90399     -182.47925
             38     -183.30957        0.80646     -182.50311
             39     -183.29178        0.84315     -182.44863
             40     -183.32323        0.92526     -182.39796
             41     -183.29652        1.00042     -182.29611
             42     -183.31773        1.00718     -182.31055
             43     -183.44653        1.05169     -182.39484
             44     -183.55157        1.07182     -182.47976
             45     -183.52390        0.95955     -182.56434
             46     -183.44553        0.75890     -182.68662
             47     -183.43599        0.79704     -182.63895
             48     -183.38332        0.83083     -182.55249
             49     -183.32608        0.78447     -182.54161
             50     -183.38458        0.97902     -182.40556
             51     -183.30020        0.97811     -182.32209
Timing summary (s): load=0.0022, callbacks_start=0.9413, engine_setup=0.0002, attach=0.0000, simulate=1.1054, callbacks_end=0.0002, total=2.0496
