2025-12-25 03:39:13: Running on host: XSH-20240927AHO
2025-12-25 03:39:13: Simulation setup:
  Engine    : curator.simulate.engines.ase_md.MDEngine
  Model     : ['../example/train/ensemble/model_1/model_path', '../example/train/ensemble/model_2/model_path', '../example/train/ensemble/model_3/model_path']
  Init traj : ../test/LiFePO4.traj
  Systems   : 1 | single system
  Device    : cuda
  Engine params: timestep=0.5
  Callbacks   : curator.simulate.callbacks.calc.CalculatorAssign, curator.simulate.callbacks.thermo_uncertainty.ThermoWithUncertainty, curator.simulate.callbacks.early_stop.EarlyStop
2025-12-25 03:39:13: Seed with <1234>
Loaded single system: natoms=28, Fe:4, Li:4, O:16, P:4
2025-12-25 03:39:14: Calcator assigned to atoms.
           step           epot           ekin           etot       force_sd      energy_sd
uncertainty backend state: <curator.simulate.uncertainty.auto.AutoUncertainty object at 0x7ed6f7f0a780>
uncertainty snapshot: {'force_sd': 0.002815436339005828, 'energy_sd': 0.000623435596935451, 'is_warning': False, 'is_outlier': False}
              1     -183.15714        0.79335     -182.36378        0.00282        0.00062
              2     -183.55896        1.10728     -182.45168        0.00461        0.00039
              3     -183.16641        0.77037     -182.39604        0.00869        0.00116
              4     -183.17535        0.72316     -182.45220        0.01114        0.00251
              5     -183.52000        1.03292     -182.48708        0.01314        0.00446
              6     -183.24490        0.78644     -182.45846        0.01649        0.00633
              7     -183.13310        0.87554     -182.25756        0.01868        0.00837
              8     -183.30179        1.05570     -182.24609        0.02175        0.00888
              9     -183.31335        1.10871     -182.20464        0.02307        0.00881
             10     -182.97258        0.76064     -182.21194        0.02410        0.00884
             11     -183.28452        0.93260     -182.35191        0.02394        0.00964
             12     -183.44127        1.20954     -182.23173        0.02442        0.01075
             13     -183.09045        1.10471     -181.98575        0.02639        0.01215
             14     -182.97266        1.03797     -181.93469        0.03045        0.01112
             15     -183.06230        1.14220     -181.92010        0.02938        0.01122
             16     -182.94786        1.04775     -181.90011        0.02949        0.00943
             17     -182.55423        0.88887     -181.66536        0.03110        0.00918
             18     -182.80978        1.01139     -181.79839        0.03159        0.01645
             19     -183.04147        1.19781     -181.84367        0.03150        0.02203
             20     -182.99124        1.06605     -181.92519        0.03186        0.01972
             21     -182.92938        0.92127     -182.00811        0.03131        0.01723
